UMAP1	UMAP2	Mitocheck_Phenotypic_Class
5.3745747	5.244098	Polylobed
5.7472153	7.825978	MetaphaseAlignment
2.5254512	9.215811	Interphase
3.1393173	8.55668	Interphase
4.783998	7.814094	Artefact
3.9484844	8.775151	Artefact
5.0187745	7.7024894	Artefact
5.6929164	3.7096727	Artefact
5.9613037	3.6283534	Polylobed
2.7947688	9.298334	Interphase
1.7489855	9.320698	Polylobed
1.2441199	8.769845	Interphase
4.6197767	8.598911	Artefact
2.6632552	9.292688	Interphase
4.2154446	8.277985	Artefact
4.190742	8.3280115	Artefact
4.216244	8.490158	Artefact
4.2090507	8.463135	Artefact
1.3134273	8.815165	Polylobed
4.1873	8.474503	Artefact
1.360845	8.786954	Polylobed
1.3042417	8.817622	Polylobed
1.3403327	8.998921	Polylobed
1.3257658	8.829444	Polylobed
3.6998541	6.7499413	Interphase
1.3438622	7.369575	Polylobed
1.5011358	7.215694	Polylobed
1.3263483	7.3556595	Polylobed
2.6976087	4.2661986	Polylobed
2.3794494	7.0738573	Interphase
3.2052968	6.4362297	Binuclear
3.008185	6.5091996	Binuclear
2.887135	7.3179145	Binuclear
2.6460114	8.689858	Interphase
3.0358865	5.6033425	Binuclear
2.7186294	4.833509	Polylobed
2.816431	4.6742425	Polylobed
2.845017	4.653111	Polylobed
7.046584	5.5864882	MetaphaseAlignment
5.635706	8.192848	Prometaphase
7.5477285	6.3466206	Metaphase
7.5924478	6.197427	Metaphase
5.7189207	8.178514	Metaphase
5.827746	8.471183	Metaphase
7.6239824	5.5289884	MetaphaseAlignment
4.451356	7.9435225	Binuclear
2.9864328	6.466894	Polylobed
4.0514674	8.064722	Binuclear
2.5441191	7.117606	Polylobed
1.5599856	9.051699	Polylobed
1.5798881	8.905468	Polylobed
1.551999	9.065583	Polylobed
3.1792004	8.155487	Polylobed
4.9521155	8.899875	Artefact
4.824244	8.9335985	Artefact
4.9106226	8.743923	Large
1.7898227	7.84467	Large
5.1947274	8.708256	MetaphaseAlignment
4.6399865	8.270188	Artefact
1.9074812	8.442815	Polylobed
4.5000577	8.281356	Artefact
4.7575274	8.212008	Artefact
1.5225303	6.713412	Polylobed
1.4857086	6.7641497	Polylobed
1.5321785	6.823278	Polylobed
4.666369	8.212367	Artefact
4.64871	8.232321	Artefact
1.5264996	6.820948	Polylobed
2.657506	6.123957	Polylobed
2.6982198	9.294284	Interphase
4.3359113	6.7591496	Interphase
2.6625195	6.209566	Polylobed
2.6716943	6.026845	Polylobed
2.2667487	8.047026	Interphase
1.8603169	9.232373	Artefact
3.1486683	7.972922	Artefact
2.9218423	7.5236974	Artefact
