UMAP1	UMAP2	UMAP3	Mitocheck_Phenotypic_Class
5.348324	5.728066	2.82352	Polylobed
6.043995	8.450898	4.016086	MetaphaseAlignment
3.159574	9.623679	3.4067802	Interphase
3.7522836	8.957653	3.1624966	Interphase
5.235367	8.0589075	4.4907656	Artefact
4.2096486	9.29514	4.1768928	Artefact
5.3252573	7.992864	4.453043	Artefact
5.4342365	7.13422	5.3293705	Artefact
5.9410996	6.7925973	5.3225446	Polylobed
3.2988484	9.604565	3.1602705	Interphase
3.1667662	9.510121	4.213035	Polylobed
2.4361086	9.4497385	4.2690296	Interphase
4.8283844	9.032083	4.1514587	Artefact
3.2101314	9.614032	3.2066765	Interphase
4.4617605	8.688261	4.4214497	Artefact
4.4641404	8.68151	4.4135704	Artefact
4.5108943	8.887633	4.3415046	Artefact
4.4988217	8.813455	4.4010153	Artefact
3.0745668	9.251463	4.5983825	Polylobed
4.4783397	8.849506	4.3686295	Artefact
3.2379076	9.2212105	4.6182904	Polylobed
3.1962903	9.232353	4.655802	Polylobed
2.851011	9.441216	4.470182	Polylobed
3.0195234	9.245504	4.6276326	Polylobed
3.8848524	7.1671295	2.2869864	Interphase
2.4091296	7.9598804	4.388471	Polylobed
2.8169482	7.5184135	4.430041	Polylobed
2.4574537	7.86717	4.446685	Polylobed
3.5903492	5.8032947	4.592201	Polylobed
3.0143914	7.746252	3.6579492	Interphase
3.8254461	7.181431	3.4840405	Binuclear
3.7003386	7.2785764	3.7193527	Binuclear
3.619725	7.8047853	3.9041736	Binuclear
3.3092535	9.192859	3.4229298	Interphase
3.8009756	6.6837873	3.7777708	Binuclear
3.7273889	5.992346	4.5914936	Polylobed
3.7820482	5.754875	4.4179945	Polylobed
3.7256742	5.719611	4.360693	Polylobed
7.3639317	7.069875	3.2684011	MetaphaseAlignment
5.9951015	8.781748	3.7474475	Prometaphase
7.186592	6.80749	2.4232922	Metaphase
7.287043	6.6956754	2.4014208	Metaphase
5.993569	8.730909	3.5860798	Metaphase
5.9590106	9.012872	3.315607	Metaphase
7.6526594	6.643312	3.4290903	MetaphaseAlignment
4.9228077	8.553041	2.4731681	Binuclear
3.5976055	7.190141	3.5387485	Polylobed
4.45277	8.665237	2.5852113	Binuclear
3.1848817	7.789702	3.5418718	Polylobed
2.833768	9.501115	4.3880258	Polylobed
2.8260834	9.323642	4.403958	Polylobed
2.8400154	9.485868	4.387531	Polylobed
4.149709	8.371105	5.0329013	Polylobed
5.2515373	9.380785	3.6309874	Artefact
5.1882195	9.440468	3.738114	Artefact
5.2651634	9.242302	4.0331073	Large
3.125293	8.441414	4.361377	Large
5.5255327	9.261456	3.600576	MetaphaseAlignment
5.0323544	8.781048	4.590274	Artefact
2.4288611	8.718407	3.8032067	Polylobed
4.9629164	8.703647	4.624763	Artefact
5.114465	8.728399	4.5783954	Artefact
2.302762	7.79599	4.179056	Polylobed
2.2752812	7.875926	4.1401405	Polylobed
2.2597442	7.9273653	4.0801315	Polylobed
5.0417876	8.732829	4.6198945	Artefact
5.093172	8.703356	4.6332436	Artefact
2.272697	7.8902392	4.0974674	Polylobed
4.2023826	7.2473617	4.4697742	Polylobed
3.622191	9.627951	3.6597865	Interphase
4.580017	7.1972604	2.221609	Interphase
4.1436415	7.325913	4.371692	Polylobed
4.222392	7.187188	4.4372525	Polylobed
3.2141027	8.610499	3.8760846	Interphase
3.0252364	9.690509	4.002064	Artefact
3.923492	8.367651	4.457558	Artefact
3.7656581	8.13164	4.277809	Artefact
5.5393505	8.753818	4.032384	Artefact
5.7934194	8.578858	3.880026	Artefact
7.0560827	6.732519	3.7210333	Apoptosis
7.027102	6.721921	3.7014818	Apoptosis
5.0865383	8.930527	4.045346	Metaphase
3.1076186	9.536455	4.0821495	Metaphase
5.70058	8.515761	3.822917	Metaphase
5.8508196	7.229695	5.2359576	MetaphaseAlignment
5.123708	7.986419	4.986692	Polylobed
5.1713014	8.057298	4.7471733	Polylobed
5.631296	6.1934433	5.13918	Polylobed
4.8559127	8.200381	4.855111	Polylobed
6.6921782	7.2125793	4.239132	Interphase
7.76361	6.9210505	2.8424938	Metaphase
3.008941	9.81546	3.7904925	Polylobed
3.0405662	9.83561	3.8157625	Polylobed
3.116202	9.808589	3.813493	Polylobed
8.086964	6.644165	2.5731568	Metaphase
3.0740495	9.77866	3.8592877	Polylobed
3.0363886	7.678303	3.4226763	Binuclear
3.0598552	7.615148	3.3813155	Binuclear
7.9753804	5.8031306	3.2505734	MetaphaseAlignment
2.9017437	7.7743416	3.444748	Binuclear
2.9706614	7.5657973	3.3357427	Binuclear
3.1698127	9.846889	3.666052	Polylobed
3.1531234	9.853591	3.6938512	Polylobed
6.2130117	8.412532	3.8731828	Metaphase
6.2296886	8.3243	3.9909632	Metaphase
3.0666573	8.207206	4.277723	Large
2.7440727	8.761636	4.0425	Large
3.0506544	8.390179	4.3431683	Polylobed
2.909401	8.688282	4.57908	Polylobed
2.9015803	9.493366	4.4563074	Polylobed
2.472452	9.325927	3.8580325	Large
2.6217573	9.522807	3.7461753	Large
2.4735475	9.446952	3.8807132	Large
2.590419	9.609777	3.883356	Large
2.6082351	9.587518	3.9067802	Large
2.3234076	9.421096	4.264198	Polylobed
2.3164139	9.389535	4.343674	Polylobed
2.3157144	9.398057	4.264895	Polylobed
5.2060328	8.641075	4.532722	Artefact
2.3452444	9.303037	4.211842	Polylobed
2.3161051	9.421067	4.283616	Polylobed
5.2329793	8.615313	4.60031	Artefact
2.3299859	9.413254	4.2423396	Polylobed
5.06516	8.647025	4.598395	Artefact
5.0761356	8.781399	4.5001965	Artefact
4.2182064	7.1724176	4.4926057	Polylobed
4.650018	7.2902923	2.2162807	Interphase
4.2500587	7.141713	4.4170384	Polylobed
3.4459774	8.530167	3.8408213	Interphase
1.8601813	6.0773196	4.384926	Polylobed
1.909083	6.0470123	4.382208	Polylobed
2.9701142	9.708973	4.0800943	Polylobed
2.4589155	7.217391	4.197859	Binuclear
