	Phenotypic_Class	F1_Score	data_split	shuffled	feature_type
0	Large	0.9352517985611511	train	False	CP
1	Large Negative	0.930232558139535	train	False	CP
2	Weighted	0.9327421783503431	train	False	CP
3	Prometaphase	0.9388429752066115	train	False	CP
4	Prometaphase Negative	0.9347442680776015	train	False	CP
5	Weighted	0.9367936216421064	train	False	CP
6	Grape	0.9523809523809523	train	False	CP
7	Grape Negative	0.9523809523809523	train	False	CP
8	Weighted	0.9523809523809523	train	False	CP
9	Interphase	0.9338842975206612	train	False	CP
10	Interphase Negative	0.9316239316239316	train	False	CP
11	Weighted	0.9327541145722964	train	False	CP
12	Apoptosis	0.9256198347107438	train	False	CP
13	Apoptosis Negative	0.9189189189189189	train	False	CP
14	Weighted	0.9222693768148313	train	False	CP
15	ADCCM	0.8461538461538463	train	False	CP
16	ADCCM Negative	0.8028169014084507	train	False	CP
17	Weighted	0.8244853737811485	train	False	CP
18	SmallIrregular	0.9444444444444444	train	False	CP
19	SmallIrregular Negative	0.9402985074626865	train	False	CP
20	Weighted	0.9423714759535654	train	False	CP
21	Polylobed	0.9164086687306501	train	False	CP
22	Polylobed Negative	0.9102990033222592	train	False	CP
23	Weighted	0.9133538360264546	train	False	CP
24	Metaphase	0.9612403100775193	train	False	CP
25	Metaphase Negative	0.9593495934959351	train	False	CP
26	Weighted	0.9602949517867272	train	False	CP
27	Binuclear	0.9657320872274143	train	False	CP
28	Binuclear Negative	0.9636963696369637	train	False	CP
29	Weighted	0.964714228432189	train	False	CP
30	Hole	0.9393939393939394	train	False	CP
31	Hole Negative	0.9368421052631579	train	False	CP
32	Weighted	0.9381180223285488	train	False	CP
33	Anaphase	0.9659863945578232	train	False	CP
34	Anaphase Negative	0.9635036496350364	train	False	CP
35	Weighted	0.9647450220964299	train	False	CP
36	MetaphaseAlignment	0.9034267912772586	train	False	CP
37	MetaphaseAlignment Negative	0.8872727272727273	train	False	CP
38	Weighted	0.895349759274993	train	False	CP
39	Elongated	0.9738219895287958	train	False	CP
40	Elongated Negative	0.972972972972973	train	False	CP
41	Weighted	0.9733974812508844	train	False	CP
42	OutOfFocus	0.9806949806949806	train	False	CP
