	Phenotypic_Class	F1_Score
0	ADCCM	0.9967426710097721
1	Anaphase	0.9803921568627451
2	Apoptosis	0.9849246231155778
3	Artefact	0.9789029535864979
4	Binuclear	0.9593345656192237
5	Elongated	1.0
6	Grape	0.9938949938949938
7	Hole	0.9574468085106383
8	Interphase	0.9479305740987984
9	Large	0.9866666666666666
10	Metaphase	0.9919999999999999
11	MetaphaseAlignment	0.9741935483870969
12	OutOfFocus	1.0
13	Polylobed	0.9795620437956205
14	Prometaphase	0.9612141652613828
15	SmallIrregular	0.9614035087719298
16	Weighted	0.9762588203967417
