Metadata_DNA	Model_Type	Mitocheck_Phenotypic_Class	Model_Feature_Type	Model_Balance_Type	Average_Rank	Average_P_Value	Min_IQR_Rank	Max_IQR_Rank	Min_IQR_P_Value	Max_IQR_P_Value	Count
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP	balanced	2.3333333333333335	0.5915375180563879	1.0	3.0	0.41927653331602127	0.8872520212978694	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP	unbalanced	2.3333333333333335	0.6537640207572148	1.0	3.0	0.485112363411994	0.9802649832839558	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_and_DP	balanced	2.0	0.6293972166376064	1.0	2.5	0.45865271305890065	0.9438893635693507	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_and_DP	unbalanced	2.0	0.6522797171068031	1.0	2.5	0.4843529154634656	0.9776095143790349	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_areashape_only	balanced	3.3333333333333335	0.10740859907999117	2.5	4.0	0.013582956198303521	0.16107222885611044	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_areashape_only	unbalanced	2.6666666666666665	0.29931401235602106	1.5	3.5	0.1066020874153507	0.44828564490897693	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_zernike_only	balanced	3.3333333333333335	0.0729824740779114	3.0	3.5	0.045593732186557295	0.10475214857953345	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_zernike_only	unbalanced	2.0	0.18230297935558434	2.0	2.0	0.14001845876379754	0.26204982851458336	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	DP	balanced	1.3333333333333333	0.7366664426980889	1.0	1.5	0.6138719005524689	0.9750508569425249	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	DP	unbalanced	1.3333333333333333	0.7480705557375735	1.0	1.5	0.6322875113653236	0.9792492499244789	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP	balanced	7.0	0.07509493932365399	4.5	9.0	0.045743684839719356	0.10786483094390689	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP	unbalanced	2.0	0.21724058688504688	1.5	2.5	0.13120927861515255	0.2636919743869449	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP_and_DP	balanced	4.666666666666667	0.2866273341063407	3.0	6.5	0.0034576259187935284	0.4298983802865109	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP_and_DP	unbalanced	11.333333333333334	0.0060133405895788665	11.0	12.0	0.0048431530037164	0.0076651138306916	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP_areashape_only	balanced	12.0	0.020976239026544535	11.5	12.5	0.0196411672155263	0.023141527567341197	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP_areashape_only	unbalanced	7.333333333333333	0.06607875057135443	6.5	8.5	0.0512975430161087	0.07602421670362434	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP_zernike_only	balanced	11.333333333333334	0.04970722452435803	11.0	11.5	0.0444671217421213	0.0542354977910086	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	CP_zernike_only	unbalanced	3.0	0.1046084530050867	2.5	4.0	0.0886221310634733	0.11283235068982214	3
LT0003_40/LT0003_40_149_83.tif	shuffled_baseline	Polylobed	DP	balanced	5.333333333333333	0.118698828446738	4.0	7.0	0.0475235179052562	0.17110589082447855	3
