Metadata_DNA	Model_type	Mitocheck_Phenotypic_Class	Model_Feature_Type	Average_Rank	Average_P_Value	Min_IQR_Rank	Max_IQR_Rank	Min_IQR_P_Value	Max_IQR_P_Value	Count
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP	2.3333333333333335	0.6529879000083539	1.0	3.0	0.4843084905053055	0.9790770067924498	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	CP_and_DP	1.6666666666666667	0.6301746435293911	1.0	2.0	0.4617261800773099	0.9441995064434918	3
LT0003_40/LT0003_40_149_83.tif	final	Polylobed	DP	1.3333333333333333	0.7017008995949133	1.0	1.5	0.581234167053148	0.9341437288976013	3
LT0003_40/LT0003_40_149_83.tif	shuffled	Polylobed	CP	4.666666666666667	0.11883711464988062	2.5	6.0	0.09770191429684286	0.15538037349236922	3
LT0003_40/LT0003_40_149_83.tif	shuffled	Polylobed	CP_and_DP	8.0	0.20384887453110082	5.0	11.5	0.0005806285976475854	0.3057729059804261	3
LT0003_40/LT0003_40_149_83.tif	shuffled	Polylobed	DP	4.333333333333333	0.09828388892000471	3.5	5.5	0.07318354806069136	0.11518319580679995	3
LT0010_27/LT0010_27_173_83.tif	final	Elongated	CP	2.6666666666666665	0.646805391937324	1.0	2.0	0.2490761582048014	0.9843842627450416	21
LT0010_27/LT0010_27_173_83.tif	final	Elongated	CP_and_DP	1.8571428571428572	0.5848957045458981	1.0	3.0	0.1257200593309015	0.946150549500668	21
LT0010_27/LT0010_27_173_83.tif	final	Elongated	DP	2.5714285714285716	0.5125621049713728	1.0	3.0	0.0649335573803787	0.9593475384625616	21
LT0010_27/LT0010_27_173_83.tif	final	Large	CP	13.0	0.00017309136663053163	12.5	13.5	0.00013773873555229744	0.0002306905577443	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_and_DP	10.666666666666666	0.001967116439663295	10.5	11.0	0.0009578100066366429	0.0029089844833533997	3
LT0010_27/LT0010_27_173_83.tif	final	Large	DP	9.0	0.009845998796052888	8.0	11.0	0.0001986565173897814	0.0147683043154364	3
LT0010_27/LT0010_27_173_83.tif	shuffled	Elongated	CP	9.857142857142858	0.03849475471978808	9.0	11.0	0.0250586370538342	0.0462464148309401	21
LT0010_27/LT0010_27_173_83.tif	shuffled	Elongated	CP_and_DP	11.714285714285714	0.0010973790823387793	10.0	14.0	0.0001536933512158	0.0010203919243156	21
LT0010_27/LT0010_27_173_83.tif	shuffled	Elongated	DP	9.142857142857142	0.026590548123579687	7.0	11.0	0.009024140013196	0.02475877880041	21
LT0010_27/LT0010_27_173_83.tif	shuffled	Large	CP	14.0	0.0167265101603556	13.5	14.5	0.00947771450571695	0.02051469504124675	3
LT0010_27/LT0010_27_173_83.tif	shuffled	Large	CP_and_DP	10.0	0.010019935162333899	9.5	10.5	0.0064244151647355	0.014849974134960399	3
LT0010_27/LT0010_27_173_83.tif	shuffled	Large	DP	11.0	0.008719596956301433	10.0	12.5	0.007541365694449451	0.0098719156510078	3
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP	1.5	0.50454587513789	1.25	1.75	0.35759491638123275	0.6514968338945473	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_and_DP	1.5	0.4713633902446535	1.25	1.75	0.2534664482239725	0.6892603322653346	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	DP	1.5	0.4513270749941564	1.25	1.75	0.34238703129727543	0.5602671186910374	2
LT0012_25/LT0012_25_349_83.tif	shuffled	Polylobed	CP	7.0	0.0771615313964605	5.5	8.5	0.0596002013372108	0.0947228614557102	2
LT0012_25/LT0012_25_349_83.tif	shuffled	Polylobed	CP_and_DP	2.0	0.1281664074603028	2.0	2.0	0.12254708760128916	0.13378572731931646	2
LT0012_25/LT0012_25_349_83.tif	shuffled	Polylobed	DP	7.0	0.07103529579174295	5.0	9.0	0.05678428373977733	0.08528630784370858	2
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP	6.5	0.16544076378185513	5.5	8.5	3.41132232256784e-05	0.16604128517333544	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_and_DP	7.75	0.23829699618941544	4.75	11.0	0.000848638153100225	0.23914489786245804	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	DP	6.25	0.2454811736187322	3.25	8.0	0.01643435112650585	0.2661127562646135	4
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP	6.428571428571429	0.2841748919331709	1.5	12.5	7.164457470486597e-08	0.4734521084446537	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_and_DP	4.428571428571429	0.41337359529918194	1.0	7.5	0.0032921395614936896	0.7531365145877833	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	DP	2.2857142857142856	0.4755423923176587	1.0	3.0	0.06510331119872234	0.7773718834394083	7
LT0012_29/LT0012_29_252_83.tif	shuffled	Apoptosis	CP	6.25	0.07096053680537065	5.75	6.5	0.06432500068351626	0.07626189097876312	4
LT0012_29/LT0012_29_252_83.tif	shuffled	Apoptosis	CP_and_DP	9.5	0.018914617137674	7.75	10.75	0.004680866447926325	0.028545751470631823	4
LT0012_29/LT0012_29_252_83.tif	shuffled	Apoptosis	DP	13.25	0.00021211979460576913	13.0	14.25	2.7229160879117807e-05	0.000282119466949575	4
LT0012_29/LT0012_29_252_83.tif	shuffled	Polylobed	CP	3.2857142857142856	0.1745180675309271	1.0	5.0	0.0875005175468481	0.2668235000661272	7
LT0012_29/LT0012_29_252_83.tif	shuffled	Polylobed	CP_and_DP	6.714285714285714	0.04315003892832421	4.5	9.0	0.018690299124866	0.05740099284460655	7
LT0012_29/LT0012_29_252_83.tif	shuffled	Polylobed	DP	9.142857142857142	0.028124141925199662	3.5	14.0	4.594396205259115e-07	0.05173203852376725	7
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP	11.4	0.14823808978674793	13.0	15.0	0.0003083654689459	0.0013209739725103	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_and_DP	6.2	0.089349809649889	5.0	7.0	0.0013055558187629	0.0195671492291542	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	DP	4.2	0.16948284917961	1.0	3.0	0.090992983303156	0.2521170756247183	5
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP	8.5	0.02521147407482555	6.25	10.75	0.012849141618232526	0.03757380653141858	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_and_DP	5.5	0.0499969366105443	3.75	7.25	0.02668501339614085	0.07330885982494775	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	DP	4.0	0.005071042303465872	3.0	5.0	0.002569377030113608	0.0075727075768181355	2
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP	4.875	0.17147245315159182	2.0	7.0	0.017588111354336026	0.3164230397306364	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_and_DP	3.75	0.14634854067923864	1.75	3.5	0.033890153045639124	0.19485259780902442	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	DP	5.125	0.07848544399946907	2.75	7.25	0.003714852294824925	0.03356543082078367	8
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP	3.0	0.0596119695700962	3.0	3.0	0.0596119695700962	0.0596119695700962	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_and_DP	4.0	0.0067789009038994	4.0	4.0	0.0067789009038994	0.0067789009038994	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	DP	2.0	0.0308155747900017	2.0	2.0	0.0308155747900017	0.0308155747900017	1
LT0013_38/LT0013_38_42_47.tif	shuffled	Binuclear	CP	10.0	0.03911481619667696	9.0	12.0	0.0260899032062115	0.0370550069987276	5
