	True_Label	Predicted_Label	Count	data_split	shuffled	feature_type
0	Large	Large	65	train	False	CP
1	Large	Large Negative	2	train	False	CP
2	Large Negative	Large	7	train	False	CP
3	Large Negative	Large Negative	60	train	False	CP
4	Prometaphase	Prometaphase	284	train	False	CP
5	Prometaphase	Prometaphase Negative	9	train	False	CP
6	Prometaphase Negative	Prometaphase	28	train	False	CP
7	Prometaphase Negative	Prometaphase Negative	265	train	False	CP
8	Grape	Grape	60	train	False	CP
9	Grape	Grape Negative	3	train	False	CP
10	Grape Negative	Grape	3	train	False	CP
11	Grape Negative	Grape Negative	60	train	False	CP
12	Interphase	Interphase	339	train	False	CP
13	Interphase	Interphase Negative	18	train	False	CP
14	Interphase Negative	Interphase	30	train	False	CP
15	Interphase Negative	Interphase Negative	327	train	False	CP
16	Apoptosis	Apoptosis	224	train	False	CP
17	Apoptosis	Apoptosis Negative	8	train	False	CP
18	Apoptosis Negative	Apoptosis	28	train	False	CP
19	Apoptosis Negative	Apoptosis Negative	204	train	False	CP
20	ADCCM	ADCCM	77	train	False	CP
21	ADCCM	ADCCM Negative	4	train	False	CP
22	ADCCM Negative	ADCCM	24	train	False	CP
23	ADCCM Negative	ADCCM Negative	57	train	False	CP
24	SmallIrregular	SmallIrregular	136	train	False	CP
25	SmallIrregular	SmallIrregular Negative	3	train	False	CP
26	SmallIrregular Negative	SmallIrregular	13	train	False	CP
27	SmallIrregular Negative	SmallIrregular Negative	126	train	False	CP
28	Polylobed	Polylobed	296	train	False	CP
29	Polylobed	Polylobed Negative	16	train	False	CP
30	Polylobed Negative	Polylobed	38	train	False	CP
31	Polylobed Negative	Polylobed Negative	274	train	False	CP
32	Metaphase	Metaphase	62	train	False	CP
33	Metaphase	Metaphase Negative	1	train	False	CP
34	Metaphase Negative	Metaphase	4	train	False	CP
35	Metaphase Negative	Metaphase Negative	59	train	False	CP
36	Binuclear	Binuclear	155	train	False	CP
37	Binuclear	Binuclear Negative	1	train	False	CP
38	Binuclear Negative	Binuclear	10	train	False	CP
39	Binuclear Negative	Binuclear Negative	146	train	False	CP
40	Hole	Hole	93	train	False	CP
41	Hole	Hole Negative	4	train	False	CP
42	Hole Negative	Hole	8	train	False	CP
43	Hole Negative	Hole Negative	89	train	False	CP
44	Anaphase	Anaphase	71	train	False	CP
45	Anaphase	Anaphase Negative	0	train	False	CP
46	Anaphase Negative	Anaphase	5	train	False	CP
47	Anaphase Negative	Anaphase Negative	66	train	False	CP
48	MetaphaseAlignment	MetaphaseAlignment	145	train	False	CP
49	MetaphaseAlignment	MetaphaseAlignment Negative	4	train	False	CP
50	MetaphaseAlignment Negative	MetaphaseAlignment	27	train	False	CP
51	MetaphaseAlignment Negative	MetaphaseAlignment Negative	122	train	False	CP
52	Elongated	Elongated	93	train	False	CP
53	Elongated	Elongated Negative	1	train	False	CP
54	Elongated Negative	Elongated	4	train	False	CP
55	Elongated Negative	Elongated Negative	90	train	False	CP
56	OutOfFocus	OutOfFocus	254	train	False	CP
57	OutOfFocus	OutOfFocus Negative	4	train	False	CP
58	OutOfFocus Negative	OutOfFocus	6	train	False	CP
59	OutOfFocus Negative	OutOfFocus Negative	252	train	False	CP
60	Large	Large	11	test	False	CP
61	Large	Large Negative	1	test	False	CP
62	Large Negative	Large	41	test	False	CP
63	Large Negative	Large Negative	377	test	False	CP
64	Prometaphase	Prometaphase	51	test	False	CP
65	Prometaphase	Prometaphase Negative	1	test	False	CP
66	Prometaphase Negative	Prometaphase	65	test	False	CP
67	Prometaphase Negative	Prometaphase Negative	313	test	False	CP
68	Grape	Grape	10	test	False	CP
69	Grape	Grape Negative	1	test	False	CP
70	Grape Negative	Grape	86	test	False	CP
