	True_Label	Predicted_Label	Count
0	ADCCM	ADCCM	153
1	ADCCM	Anaphase	0
2	ADCCM	Apoptosis	0
3	ADCCM	Artefact	1
4	ADCCM	Binuclear	0
5	ADCCM	Elongated	0
6	ADCCM	Grape	0
7	ADCCM	Hole	0
8	ADCCM	Interphase	0
9	ADCCM	Large	0
10	ADCCM	Metaphase	0
11	ADCCM	MetaphaseAlignment	0
12	ADCCM	OutOfFocus	0
13	ADCCM	Polylobed	0
14	ADCCM	Prometaphase	0
15	ADCCM	SmallIrregular	0
16	Anaphase	ADCCM	0
17	Anaphase	Anaphase	75
18	Anaphase	Apoptosis	1
19	Anaphase	Artefact	0
20	Anaphase	Binuclear	0
21	Anaphase	Elongated	0
22	Anaphase	Grape	0
23	Anaphase	Hole	0
24	Anaphase	Interphase	0
25	Anaphase	Large	0
26	Anaphase	Metaphase	0
27	Anaphase	MetaphaseAlignment	0
28	Anaphase	OutOfFocus	0
29	Anaphase	Polylobed	0
30	Anaphase	Prometaphase	0
31	Anaphase	SmallIrregular	0
32	Apoptosis	ADCCM	0
33	Apoptosis	Anaphase	0
34	Apoptosis	Apoptosis	294
35	Apoptosis	Artefact	0
36	Apoptosis	Binuclear	0
37	Apoptosis	Elongated	0
38	Apoptosis	Grape	0
39	Apoptosis	Hole	0
40	Apoptosis	Interphase	0
41	Apoptosis	Large	0
42	Apoptosis	Metaphase	0
43	Apoptosis	MetaphaseAlignment	0
44	Apoptosis	OutOfFocus	0
45	Apoptosis	Polylobed	0
46	Apoptosis	Prometaphase	3
47	Apoptosis	SmallIrregular	0
48	Artefact	ADCCM	0
49	Artefact	Anaphase	0
50	Artefact	Apoptosis	0
51	Artefact	Artefact	232
52	Artefact	Binuclear	0
53	Artefact	Elongated	0
54	Artefact	Grape	0
55	Artefact	Hole	0
56	Artefact	Interphase	1
57	Artefact	Large	0
58	Artefact	Metaphase	0
59	Artefact	MetaphaseAlignment	0
60	Artefact	OutOfFocus	0
61	Artefact	Polylobed	2
62	Artefact	Prometaphase	1
63	Artefact	SmallIrregular	0
64	Binuclear	ADCCM	0
65	Binuclear	Anaphase	1
66	Binuclear	Apoptosis	0
67	Binuclear	Artefact	0
68	Binuclear	Binuclear	519
69	Binuclear	Elongated	0
70	Binuclear	Grape	0
71	Binuclear	Hole	0
72	Binuclear	Interphase	2
73	Binuclear	Large	0
74	Binuclear	Metaphase	0
75	Binuclear	MetaphaseAlignment	0
76	Binuclear	OutOfFocus	0
77	Binuclear	Polylobed	19
78	Binuclear	Prometaphase	0
79	Binuclear	SmallIrregular	2
80	Elongated	ADCCM	0
81	Elongated	Anaphase	0
82	Elongated	Apoptosis	0
83	Elongated	Artefact	0
84	Elongated	Binuclear	0
85	Elongated	Elongated	94
86	Elongated	Grape	0
87	Elongated	Hole	0
88	Elongated	Interphase	0
89	Elongated	Large	0
90	Elongated	Metaphase	0
91	Elongated	MetaphaseAlignment	0
92	Elongated	OutOfFocus	0
93	Elongated	Polylobed	0
94	Elongated	Prometaphase	0
95	Elongated	SmallIrregular	0
96	Grape	ADCCM	0
97	Grape	Anaphase	0
98	Grape	Apoptosis	0
99	Grape	Artefact	0
100	Grape	Binuclear	0
101	Grape	Elongated	0
102	Grape	Grape	407
103	Grape	Hole	0
104	Grape	Interphase	0
105	Grape	Large	0
106	Grape	Metaphase	0
107	Grape	MetaphaseAlignment	0
108	Grape	OutOfFocus	0
109	Grape	Polylobed	3
110	Grape	Prometaphase	1
111	Grape	SmallIrregular	0
112	Hole	ADCCM	0
113	Hole	Anaphase	0
114	Hole	Apoptosis	1
115	Hole	Artefact	0
116	Hole	Binuclear	0
117	Hole	Elongated	0
118	Hole	Grape	0
119	Hole	Hole	90
120	Hole	Interphase	3
121	Hole	Large	0
122	Hole	Metaphase	0
123	Hole	MetaphaseAlignment	0
124	Hole	OutOfFocus	0
125	Hole	Polylobed	1
126	Hole	Prometaphase	0
127	Hole	SmallIrregular	2
128	Interphase	ADCCM	0
129	Interphase	Anaphase	1
130	Interphase	Apoptosis	0
131	Interphase	Artefact	3
132	Interphase	Binuclear	4
133	Interphase	Elongated	0
134	Interphase	Grape	0
135	Interphase	Hole	0
136	Interphase	Interphase	355
137	Interphase	Large	0
138	Interphase	Metaphase	0
139	Interphase	MetaphaseAlignment	1
140	Interphase	OutOfFocus	0
141	Interphase	Polylobed	8
142	Interphase	Prometaphase	6
143	Interphase	SmallIrregular	2
144	Large	ADCCM	0
145	Large	Anaphase	0
146	Large	Apoptosis	0
147	Large	Artefact	0
148	Large	Binuclear	1
149	Large	Elongated	0
150	Large	Grape	0
151	Large	Hole	0
152	Large	Interphase	1
153	Large	Large	74
154	Large	Metaphase	0
155	Large	MetaphaseAlignment	0
156	Large	OutOfFocus	0
157	Large	Polylobed	0
158	Large	Prometaphase	0
159	Large	SmallIrregular	0
160	Metaphase	ADCCM	0
161	Metaphase	Anaphase	0
162	Metaphase	Apoptosis	0
163	Metaphase	Artefact	0
164	Metaphase	Binuclear	0
165	Metaphase	Elongated	0
166	Metaphase	Grape	0
167	Metaphase	Hole	0
168	Metaphase	Interphase	0
169	Metaphase	Large	0
