	True_Label	Predicted_Label	Count
0	ADCCM	ADCCM	2
1	ADCCM	Anaphase	0
2	ADCCM	Apoptosis	4
3	ADCCM	Artefact	2
4	ADCCM	Binuclear	12
5	ADCCM	Elongated	0
6	ADCCM	Grape	2
7	ADCCM	Hole	0
8	ADCCM	Interphase	4
9	ADCCM	Large	0
10	ADCCM	Metaphase	0
11	ADCCM	MetaphaseAlignment	0
12	ADCCM	OutOfFocus	0
13	ADCCM	Polylobed	96
14	ADCCM	Prometaphase	12
15	ADCCM	SmallIrregular	20
16	Anaphase	ADCCM	0
17	Anaphase	Anaphase	0
18	Anaphase	Apoptosis	4
19	Anaphase	Artefact	1
20	Anaphase	Binuclear	3
21	Anaphase	Elongated	0
22	Anaphase	Grape	2
23	Anaphase	Hole	0
24	Anaphase	Interphase	6
25	Anaphase	Large	0
26	Anaphase	Metaphase	0
27	Anaphase	MetaphaseAlignment	0
28	Anaphase	OutOfFocus	2
29	Anaphase	Polylobed	33
30	Anaphase	Prometaphase	3
31	Anaphase	SmallIrregular	22
32	Apoptosis	ADCCM	0
33	Apoptosis	Anaphase	0
34	Apoptosis	Apoptosis	2
35	Apoptosis	Artefact	0
36	Apoptosis	Binuclear	11
37	Apoptosis	Elongated	1
38	Apoptosis	Grape	4
39	Apoptosis	Hole	0
40	Apoptosis	Interphase	6
41	Apoptosis	Large	0
42	Apoptosis	Metaphase	0
43	Apoptosis	MetaphaseAlignment	0
44	Apoptosis	OutOfFocus	4
45	Apoptosis	Polylobed	258
46	Apoptosis	Prometaphase	0
47	Apoptosis	SmallIrregular	11
48	Artefact	ADCCM	0
49	Artefact	Anaphase	0
50	Artefact	Apoptosis	5
51	Artefact	Artefact	8
52	Artefact	Binuclear	31
53	Artefact	Elongated	1
54	Artefact	Grape	11
55	Artefact	Hole	2
56	Artefact	Interphase	8
57	Artefact	Large	0
58	Artefact	Metaphase	0
59	Artefact	MetaphaseAlignment	1
60	Artefact	OutOfFocus	0
61	Artefact	Polylobed	150
62	Artefact	Prometaphase	4
63	Artefact	SmallIrregular	15
64	Binuclear	ADCCM	1
65	Binuclear	Anaphase	14
66	Binuclear	Apoptosis	32
67	Binuclear	Artefact	4
68	Binuclear	Binuclear	149
69	Binuclear	Elongated	0
70	Binuclear	Grape	23
71	Binuclear	Hole	12
72	Binuclear	Interphase	9
73	Binuclear	Large	8
74	Binuclear	Metaphase	0
75	Binuclear	MetaphaseAlignment	4
76	Binuclear	OutOfFocus	3
77	Binuclear	Polylobed	252
78	Binuclear	Prometaphase	13
79	Binuclear	SmallIrregular	19
80	Elongated	ADCCM	2
81	Elongated	Anaphase	0
82	Elongated	Apoptosis	7
83	Elongated	Artefact	2
84	Elongated	Binuclear	40
85	Elongated	Elongated	0
86	Elongated	Grape	3
87	Elongated	Hole	0
88	Elongated	Interphase	2
89	Elongated	Large	6
90	Elongated	Metaphase	1
91	Elongated	MetaphaseAlignment	3
92	Elongated	OutOfFocus	6
93	Elongated	Polylobed	12
94	Elongated	Prometaphase	0
95	Elongated	SmallIrregular	10
96	Grape	ADCCM	0
97	Grape	Anaphase	0
98	Grape	Apoptosis	8
99	Grape	Artefact	5
100	Grape	Binuclear	51
101	Grape	Elongated	0
102	Grape	Grape	18
103	Grape	Hole	0
104	Grape	Interphase	6
105	Grape	Large	0
106	Grape	Metaphase	0
107	Grape	MetaphaseAlignment	0
108	Grape	OutOfFocus	0
109	Grape	Polylobed	309
110	Grape	Prometaphase	8
111	Grape	SmallIrregular	6
112	Hole	ADCCM	3
113	Hole	Anaphase	0
114	Hole	Apoptosis	6
115	Hole	Artefact	0
116	Hole	Binuclear	10
117	Hole	Elongated	1
118	Hole	Grape	1
119	Hole	Hole	0
120	Hole	Interphase	3
121	Hole	Large	0
122	Hole	Metaphase	1
123	Hole	MetaphaseAlignment	12
124	Hole	OutOfFocus	4
125	Hole	Polylobed	46
126	Hole	Prometaphase	1
127	Hole	SmallIrregular	9
128	Interphase	ADCCM	9
129	Interphase	Anaphase	14
130	Interphase	Apoptosis	13
131	Interphase	Artefact	2
132	Interphase	Binuclear	68
133	Interphase	Elongated	3
134	Interphase	Grape	14
135	Interphase	Hole	1
136	Interphase	Interphase	25
137	Interphase	Large	18
138	Interphase	Metaphase	4
139	Interphase	MetaphaseAlignment	5
140	Interphase	OutOfFocus	9
141	Interphase	Polylobed	168
142	Interphase	Prometaphase	7
143	Interphase	SmallIrregular	20
144	Large	ADCCM	0
145	Large	Anaphase	4
146	Large	Apoptosis	0
147	Large	Artefact	3
148	Large	Binuclear	31
149	Large	Elongated	0
150	Large	Grape	2
151	Large	Hole	0
152	Large	Interphase	2
153	Large	Large	1
154	Large	Metaphase	0
155	Large	MetaphaseAlignment	1
156	Large	OutOfFocus	0
157	Large	Polylobed	26
158	Large	Prometaphase	2
159	Large	SmallIrregular	4
