	Feature_Name	Phenotypic_Class	Value
0	CP__AreaShape_Area	ADCCM	0.0
1	CP__AreaShape_Area	Anaphase	0.02934361261073727
2	CP__AreaShape_Area	Apoptosis	0.013776931358388367
3	CP__AreaShape_Area	Binuclear	0.0
4	CP__AreaShape_Area	Elongated	0.0
5	CP__AreaShape_Area	Grape	0.020205208385724593
6	CP__AreaShape_Area	Hole	0.0
7	CP__AreaShape_Area	Interphase	0.0
8	CP__AreaShape_Area	Large	0.10662962710086495
9	CP__AreaShape_Area	Metaphase	0.0004963373488944243
10	CP__AreaShape_Area	MetaphaseAlignment	0.0
11	CP__AreaShape_Area	OutOfFocus	0.07360857059436547
12	CP__AreaShape_Area	Polylobed	0.008925848808987134
13	CP__AreaShape_Area	Prometaphase	0.0
14	CP__AreaShape_Area	SmallIrregular	0.0005934711612009925
15	CP__AreaShape_BoundingBoxArea	ADCCM	0.0
16	CP__AreaShape_BoundingBoxArea	Anaphase	0.0316010854600151
17	CP__AreaShape_BoundingBoxArea	Apoptosis	0.0053253103630635954
18	CP__AreaShape_BoundingBoxArea	Binuclear	0.0
19	CP__AreaShape_BoundingBoxArea	Elongated	0.0
20	CP__AreaShape_BoundingBoxArea	Grape	0.016291468313168085
21	CP__AreaShape_BoundingBoxArea	Hole	0.0
22	CP__AreaShape_BoundingBoxArea	Interphase	0.0
23	CP__AreaShape_BoundingBoxArea	Large	0.12147026626687288
24	CP__AreaShape_BoundingBoxArea	Metaphase	0.012939394033836898
25	CP__AreaShape_BoundingBoxArea	MetaphaseAlignment	0.0
26	CP__AreaShape_BoundingBoxArea	OutOfFocus	0.08537082179540943
27	CP__AreaShape_BoundingBoxArea	Polylobed	0.02059116912492007
28	CP__AreaShape_BoundingBoxArea	Prometaphase	0.0006297078696851163
29	CP__AreaShape_BoundingBoxArea	SmallIrregular	0.01751026658787778
30	CP__AreaShape_BoundingBoxMaximum_X	ADCCM	0.00385867804037652
31	CP__AreaShape_BoundingBoxMaximum_X	Anaphase	0.0
32	CP__AreaShape_BoundingBoxMaximum_X	Apoptosis	0.0
33	CP__AreaShape_BoundingBoxMaximum_X	Binuclear	0.0026229640926303064
34	CP__AreaShape_BoundingBoxMaximum_X	Elongated	0.0
35	CP__AreaShape_BoundingBoxMaximum_X	Grape	0.0
36	CP__AreaShape_BoundingBoxMaximum_X	Hole	0.0
37	CP__AreaShape_BoundingBoxMaximum_X	Interphase	0.028427680332934586
38	CP__AreaShape_BoundingBoxMaximum_X	Large	0.004559334270321387
39	CP__AreaShape_BoundingBoxMaximum_X	Metaphase	0.0
40	CP__AreaShape_BoundingBoxMaximum_X	MetaphaseAlignment	0.003110593744138222
41	CP__AreaShape_BoundingBoxMaximum_X	OutOfFocus	8.95444789886572e-05
42	CP__AreaShape_BoundingBoxMaximum_X	Polylobed	0.0
43	CP__AreaShape_BoundingBoxMaximum_X	Prometaphase	0.0
44	CP__AreaShape_BoundingBoxMaximum_X	SmallIrregular	0.03505731045247945
45	CP__AreaShape_BoundingBoxMaximum_Y	ADCCM	0.04024522228385649
46	CP__AreaShape_BoundingBoxMaximum_Y	Anaphase	0.0
47	CP__AreaShape_BoundingBoxMaximum_Y	Apoptosis	0.034547214615710045
48	CP__AreaShape_BoundingBoxMaximum_Y	Binuclear	0.0
49	CP__AreaShape_BoundingBoxMaximum_Y	Elongated	0.0
50	CP__AreaShape_BoundingBoxMaximum_Y	Grape	0.0
