	Feature_Name	Phenotypic_Class	Value
0	efficientnet_0	ADCCM	0.011862033598175446
1	efficientnet_0	Anaphase	0.01995199641371951
2	efficientnet_0	Apoptosis	0.010964583131509454
3	efficientnet_0	Artefact	0.01665032317934241
4	efficientnet_0	Binuclear	0.0051410485019895875
5	efficientnet_0	Elongated	0.004339139857611868
6	efficientnet_0	Grape	0.044057694776634286
7	efficientnet_0	Hole	0.013557681835892028
8	efficientnet_0	Interphase	0.12308816981413298
9	efficientnet_0	Large	0.038061272532520604
10	efficientnet_0	Metaphase	0.06127624785835585
11	efficientnet_0	MetaphaseAlignment	0.0605051155836566
12	efficientnet_0	OutOfFocus	0.0
13	efficientnet_0	Polylobed	0.0050357432332552
14	efficientnet_0	Prometaphase	0.019254506877429342
15	efficientnet_0	SmallIrregular	0.1725592628198402
16	efficientnet_1	ADCCM	0.03826751435475108
17	efficientnet_1	Anaphase	0.0
18	efficientnet_1	Apoptosis	0.0
19	efficientnet_1	Artefact	0.030429878363166754
20	efficientnet_1	Binuclear	0.05280277573118088
21	efficientnet_1	Elongated	0.004323681953450705
22	efficientnet_1	Grape	4.301329093798158e-08
23	efficientnet_1	Hole	0.0036714093927213832
24	efficientnet_1	Interphase	0.0
25	efficientnet_1	Large	0.01236482190783035
26	efficientnet_1	Metaphase	0.009875023153792292
27	efficientnet_1	MetaphaseAlignment	1.0639719435996487e-07
28	efficientnet_1	OutOfFocus	0.0
29	efficientnet_1	Polylobed	0.0001792037730692138
30	efficientnet_1	Prometaphase	0.0017188334683351624
31	efficientnet_1	SmallIrregular	0.01856071549560854
32	efficientnet_2	ADCCM	0.048010356602565335
33	efficientnet_2	Anaphase	0.003360081330895794
34	efficientnet_2	Apoptosis	0.0017141067460750684
35	efficientnet_2	Artefact	0.05924650509755064
36	efficientnet_2	Binuclear	0.03588506934790657
37	efficientnet_2	Elongated	0.03373302452673868
38	efficientnet_2	Grape	0.034389366883437154
39	efficientnet_2	Hole	0.0
40	efficientnet_2	Interphase	0.04256859745755391
41	efficientnet_2	Large	0.0009571219220569645
42	efficientnet_2	Metaphase	0.0
43	efficientnet_2	MetaphaseAlignment	5.028227117785574e-08
44	efficientnet_2	OutOfFocus	0.0
45	efficientnet_2	Polylobed	0.0
46	efficientnet_2	Prometaphase	0.06965972319944488
47	efficientnet_2	SmallIrregular	0.03983606276869074
48	efficientnet_3	ADCCM	0.02039436802007728
49	efficientnet_3	Anaphase	0.0
50	efficientnet_3	Apoptosis	0.042203873545912214
51	efficientnet_3	Artefact	0.026401268713867023
52	efficientnet_3	Binuclear	0.09810598423550224
53	efficientnet_3	Elongated	0.07179041562093957
54	efficientnet_3	Grape	0.0
55	efficientnet_3	Hole	0.061451077951007786
56	efficientnet_3	Interphase	0.16141175253442888
57	efficientnet_3	Large	0.0
58	efficientnet_3	Metaphase	0.0
59	efficientnet_3	MetaphaseAlignment	4.3742811105543256e-08
60	efficientnet_3	OutOfFocus	0.0021999075832948205
