	Feature_Name	Phenotypic_Class	ML_coefficient
0	CP__AreaShape_Area	ADCCM	0.0
1	CP__AreaShape_Area	Anaphase	0.0
2	CP__AreaShape_Area	Apoptosis	0.06278761409946212
3	CP__AreaShape_Area	Binuclear	0.0
4	CP__AreaShape_Area	Elongated	0.08106254123497085
5	CP__AreaShape_Area	Grape	0.0
6	CP__AreaShape_Area	Hole	-0.012784634945691152
7	CP__AreaShape_Area	Interphase	0.0
8	CP__AreaShape_Area	Large	0.032530040961402946
9	CP__AreaShape_Area	Metaphase	-0.03377683068209136
10	CP__AreaShape_Area	MetaphaseAlignment	0.0
11	CP__AreaShape_Area	OutOfFocus	0.04292917384291926
12	CP__AreaShape_Area	Polylobed	0.0
13	CP__AreaShape_Area	Prometaphase	-0.01414049774576813
14	CP__AreaShape_Area	SmallIrregular	-0.005512005731491529
15	CP__AreaShape_BoundingBoxArea	ADCCM	-0.014690068865294113
16	CP__AreaShape_BoundingBoxArea	Anaphase	0.019264540014386527
17	CP__AreaShape_BoundingBoxArea	Apoptosis	0.0
18	CP__AreaShape_BoundingBoxArea	Binuclear	-0.0328685952179829
19	CP__AreaShape_BoundingBoxArea	Elongated	-0.014037033181496208
20	CP__AreaShape_BoundingBoxArea	Grape	0.0
21	CP__AreaShape_BoundingBoxArea	Hole	-0.01224807588564371
22	CP__AreaShape_BoundingBoxArea	Interphase	0.024783904634789484
23	CP__AreaShape_BoundingBoxArea	Large	0.0
24	CP__AreaShape_BoundingBoxArea	Metaphase	0.0
25	CP__AreaShape_BoundingBoxArea	MetaphaseAlignment	0.006361269221219002
26	CP__AreaShape_BoundingBoxArea	OutOfFocus	0.017581460479876732
27	CP__AreaShape_BoundingBoxArea	Polylobed	-0.00338984126475642
28	CP__AreaShape_BoundingBoxArea	Prometaphase	0.008135117405517308
29	CP__AreaShape_BoundingBoxArea	SmallIrregular	0.0
30	CP__AreaShape_BoundingBoxMaximum_X	ADCCM	0.0
31	CP__AreaShape_BoundingBoxMaximum_X	Anaphase	0.0
32	CP__AreaShape_BoundingBoxMaximum_X	Apoptosis	0.0980383073891912
33	CP__AreaShape_BoundingBoxMaximum_X	Binuclear	0.0
34	CP__AreaShape_BoundingBoxMaximum_X	Elongated	0.0
35	CP__AreaShape_BoundingBoxMaximum_X	Grape	0.0
36	CP__AreaShape_BoundingBoxMaximum_X	Hole	0.0
37	CP__AreaShape_BoundingBoxMaximum_X	Interphase	0.0
38	CP__AreaShape_BoundingBoxMaximum_X	Large	0.0
39	CP__AreaShape_BoundingBoxMaximum_X	Metaphase	0.0
40	CP__AreaShape_BoundingBoxMaximum_X	MetaphaseAlignment	0.0
41	CP__AreaShape_BoundingBoxMaximum_X	OutOfFocus	0.045764967864512125
42	CP__AreaShape_BoundingBoxMaximum_X	Polylobed	-0.04957070686434896
43	CP__AreaShape_BoundingBoxMaximum_X	Prometaphase	0.0
44	CP__AreaShape_BoundingBoxMaximum_X	SmallIrregular	0.0
45	CP__AreaShape_BoundingBoxMaximum_Y	ADCCM	0.0
46	CP__AreaShape_BoundingBoxMaximum_Y	Anaphase	0.0
47	CP__AreaShape_BoundingBoxMaximum_Y	Apoptosis	0.0
48	CP__AreaShape_BoundingBoxMaximum_Y	Binuclear	0.015084966597971329
49	CP__AreaShape_BoundingBoxMaximum_Y	Elongated	0.0
50	CP__AreaShape_BoundingBoxMaximum_Y	Grape	0.0
51	CP__AreaShape_BoundingBoxMaximum_Y	Hole	-0.028647183247131575
52	CP__AreaShape_BoundingBoxMaximum_Y	Interphase	0.0
53	CP__AreaShape_BoundingBoxMaximum_Y	Large	0.0044790975165851
54	CP__AreaShape_BoundingBoxMaximum_Y	Metaphase	0.0
55	CP__AreaShape_BoundingBoxMaximum_Y	MetaphaseAlignment	-0.04347965287118354
56	CP__AreaShape_BoundingBoxMaximum_Y	OutOfFocus	0.0
57	CP__AreaShape_BoundingBoxMaximum_Y	Polylobed	-0.1166859851296259
58	CP__AreaShape_BoundingBoxMaximum_Y	Prometaphase	0.00879846863548215
59	CP__AreaShape_BoundingBoxMaximum_Y	SmallIrregular	-0.05010282708159017
60	CP__AreaShape_BoundingBoxMinimum_X	ADCCM	0.0
61	CP__AreaShape_BoundingBoxMinimum_X	Anaphase	0.0
62	CP__AreaShape_BoundingBoxMinimum_X	Apoptosis	0.0
63	CP__AreaShape_BoundingBoxMinimum_X	Binuclear	0.0
64	CP__AreaShape_BoundingBoxMinimum_X	Elongated	0.0
65	CP__AreaShape_BoundingBoxMinimum_X	Grape	0.0
66	CP__AreaShape_BoundingBoxMinimum_X	Hole	0.0
67	CP__AreaShape_BoundingBoxMinimum_X	Interphase	0.0
68	CP__AreaShape_BoundingBoxMinimum_X	Large	0.0
69	CP__AreaShape_BoundingBoxMinimum_X	Metaphase	0.0
70	CP__AreaShape_BoundingBoxMinimum_X	MetaphaseAlignment	0.0
71	CP__AreaShape_BoundingBoxMinimum_X	OutOfFocus	0.0
72	CP__AreaShape_BoundingBoxMinimum_X	Polylobed	-0.04220063016178584
73	CP__AreaShape_BoundingBoxMinimum_X	Prometaphase	0.0
74	CP__AreaShape_BoundingBoxMinimum_X	SmallIrregular	-0.03811330200516019
75	CP__AreaShape_BoundingBoxMinimum_Y	ADCCM	0.0
76	CP__AreaShape_BoundingBoxMinimum_Y	Anaphase	0.0
77	CP__AreaShape_BoundingBoxMinimum_Y	Apoptosis	0.0
78	CP__AreaShape_BoundingBoxMinimum_Y	Binuclear	0.0
79	CP__AreaShape_BoundingBoxMinimum_Y	Elongated	-0.03619929764212148
80	CP__AreaShape_BoundingBoxMinimum_Y	Grape	0.0
81	CP__AreaShape_BoundingBoxMinimum_Y	Hole	0.0
82	CP__AreaShape_BoundingBoxMinimum_Y	Interphase	-0.10093808453108377
83	CP__AreaShape_BoundingBoxMinimum_Y	Large	0.0
84	CP__AreaShape_BoundingBoxMinimum_Y	Metaphase	0.0
85	CP__AreaShape_BoundingBoxMinimum_Y	MetaphaseAlignment	0.0
86	CP__AreaShape_BoundingBoxMinimum_Y	OutOfFocus	0.0
87	CP__AreaShape_BoundingBoxMinimum_Y	Polylobed	0.06863424584843576
88	CP__AreaShape_BoundingBoxMinimum_Y	Prometaphase	0.0
89	CP__AreaShape_BoundingBoxMinimum_Y	SmallIrregular	0.0
90	CP__AreaShape_Center_X	ADCCM	0.0
91	CP__AreaShape_Center_X	Anaphase	0.0
92	CP__AreaShape_Center_X	Apoptosis	0.0
93	CP__AreaShape_Center_X	Binuclear	0.0
94	CP__AreaShape_Center_X	Elongated	0.0
95	CP__AreaShape_Center_X	Grape	0.0
96	CP__AreaShape_Center_X	Hole	-0.008917104225240436
97	CP__AreaShape_Center_X	Interphase	-0.05523560887933615
98	CP__AreaShape_Center_X	Large	0.0
99	CP__AreaShape_Center_X	Metaphase	0.0
100	CP__AreaShape_Center_X	MetaphaseAlignment	0.0
101	CP__AreaShape_Center_X	OutOfFocus	0.0
102	CP__AreaShape_Center_X	Polylobed	0.007596243420687524
103	CP__AreaShape_Center_X	Prometaphase	0.0
104	CP__AreaShape_Center_X	SmallIrregular	0.0
105	CP__AreaShape_Center_Y	ADCCM	0.08469248208706949
106	CP__AreaShape_Center_Y	Anaphase	0.0
107	CP__AreaShape_Center_Y	Apoptosis	0.0
108	CP__AreaShape_Center_Y	Binuclear	-0.07586667895819675
109	CP__AreaShape_Center_Y	Elongated	0.0
110	CP__AreaShape_Center_Y	Grape	0.0
111	CP__AreaShape_Center_Y	Hole	-0.018058482681222905
112	CP__AreaShape_Center_Y	Interphase	0.0
113	CP__AreaShape_Center_Y	Large	0.0
114	CP__AreaShape_Center_Y	Metaphase	0.0
115	CP__AreaShape_Center_Y	MetaphaseAlignment	0.0
116	CP__AreaShape_Center_Y	OutOfFocus	0.0
117	CP__AreaShape_Center_Y	Polylobed	0.0
118	CP__AreaShape_Center_Y	Prometaphase	0.0
119	CP__AreaShape_Center_Y	SmallIrregular	0.0
120	CP__AreaShape_Compactness	ADCCM	0.0
121	CP__AreaShape_Compactness	Anaphase	0.0
122	CP__AreaShape_Compactness	Apoptosis	0.0
123	CP__AreaShape_Compactness	Binuclear	-0.02065973885336116
124	CP__AreaShape_Compactness	Elongated	0.07533677840071969
125	CP__AreaShape_Compactness	Grape	-0.036319273858112615
126	CP__AreaShape_Compactness	Hole	0.0
127	CP__AreaShape_Compactness	Interphase	0.0
128	CP__AreaShape_Compactness	Large	0.0
129	CP__AreaShape_Compactness	Metaphase	0.0
130	CP__AreaShape_Compactness	MetaphaseAlignment	0.021604343045125738
131	CP__AreaShape_Compactness	OutOfFocus	0.0
132	CP__AreaShape_Compactness	Polylobed	-0.09497716664293587
133	CP__AreaShape_Compactness	Prometaphase	0.006245676286189601
134	CP__AreaShape_Compactness	SmallIrregular	-0.034948531608637264
135	CP__AreaShape_ConvexArea	ADCCM	0.018811043544779034
136	CP__AreaShape_ConvexArea	Anaphase	-0.04685940804421199
137	CP__AreaShape_ConvexArea	Apoptosis	-0.03062178199929637
138	CP__AreaShape_ConvexArea	Binuclear	0.023202833326728758
139	CP__AreaShape_ConvexArea	Elongated	0.0586484208302425
140	CP__AreaShape_ConvexArea	Grape	0.0
141	CP__AreaShape_ConvexArea	Hole	0.0
142	CP__AreaShape_ConvexArea	Interphase	0.026032535405026806
143	CP__AreaShape_ConvexArea	Large	0.0
144	CP__AreaShape_ConvexArea	Metaphase	0.0
145	CP__AreaShape_ConvexArea	MetaphaseAlignment	0.0
146	CP__AreaShape_ConvexArea	OutOfFocus	-0.007601260586446495
147	CP__AreaShape_ConvexArea	Polylobed	-0.07074240577613033
148	CP__AreaShape_ConvexArea	Prometaphase	0.0
149	CP__AreaShape_ConvexArea	SmallIrregular	0.0
150	CP__AreaShape_Eccentricity	ADCCM	0.0
151	CP__AreaShape_Eccentricity	Anaphase	0.02621522061989105
152	CP__AreaShape_Eccentricity	Apoptosis	0.0
153	CP__AreaShape_Eccentricity	Binuclear	0.0
154	CP__AreaShape_Eccentricity	Elongated	0.0
155	CP__AreaShape_Eccentricity	Grape	-0.03802932394827741
156	CP__AreaShape_Eccentricity	Hole	-0.06333712825204324
157	CP__AreaShape_Eccentricity	Interphase	0.0
158	CP__AreaShape_Eccentricity	Large	0.0
159	CP__AreaShape_Eccentricity	Metaphase	0.0
160	CP__AreaShape_Eccentricity	MetaphaseAlignment	0.0
161	CP__AreaShape_Eccentricity	OutOfFocus	0.0
162	CP__AreaShape_Eccentricity	Polylobed	0.0
163	CP__AreaShape_Eccentricity	Prometaphase	0.0
164	CP__AreaShape_Eccentricity	SmallIrregular	0.0
165	CP__AreaShape_EquivalentDiameter	ADCCM	0.0
166	CP__AreaShape_EquivalentDiameter	Anaphase	0.0
167	CP__AreaShape_EquivalentDiameter	Apoptosis	-0.031024469573817316
168	CP__AreaShape_EquivalentDiameter	Binuclear	0.07454722398271575
169	CP__AreaShape_EquivalentDiameter	Elongated	0.0
170	CP__AreaShape_EquivalentDiameter	Grape	0.012076975812026509
171	CP__AreaShape_EquivalentDiameter	Hole	-0.02024448854232858
172	CP__AreaShape_EquivalentDiameter	Interphase	0.0
173	CP__AreaShape_EquivalentDiameter	Large	0.0
174	CP__AreaShape_EquivalentDiameter	Metaphase	0.0
175	CP__AreaShape_EquivalentDiameter	MetaphaseAlignment	0.0
176	CP__AreaShape_EquivalentDiameter	OutOfFocus	0.0
177	CP__AreaShape_EquivalentDiameter	Polylobed	0.0
178	CP__AreaShape_EquivalentDiameter	Prometaphase	0.0060981206314944
179	CP__AreaShape_EquivalentDiameter	SmallIrregular	-0.016038623972007143
180	CP__AreaShape_EulerNumber	ADCCM	0.0
181	CP__AreaShape_EulerNumber	Anaphase	0.0
182	CP__AreaShape_EulerNumber	Apoptosis	0.0
183	CP__AreaShape_EulerNumber	Binuclear	0.0
184	CP__AreaShape_EulerNumber	Elongated	0.0
185	CP__AreaShape_EulerNumber	Grape	0.0
186	CP__AreaShape_EulerNumber	Hole	0.0
187	CP__AreaShape_EulerNumber	Interphase	0.08148397279518198
188	CP__AreaShape_EulerNumber	Large	0.0
189	CP__AreaShape_EulerNumber	Metaphase	0.0
190	CP__AreaShape_EulerNumber	MetaphaseAlignment	0.0
191	CP__AreaShape_EulerNumber	OutOfFocus	0.0016545258769036972
192	CP__AreaShape_EulerNumber	Polylobed	0.0
193	CP__AreaShape_EulerNumber	Prometaphase	0.0
194	CP__AreaShape_EulerNumber	SmallIrregular	0.0
195	CP__AreaShape_Extent	ADCCM	0.0
196	CP__AreaShape_Extent	Anaphase	0.0
197	CP__AreaShape_Extent	Apoptosis	0.0
198	CP__AreaShape_Extent	Binuclear	0.0
199	CP__AreaShape_Extent	Elongated	0.0
200	CP__AreaShape_Extent	Grape	0.0
201	CP__AreaShape_Extent	Hole	0.0
202	CP__AreaShape_Extent	Interphase	0.016201681082151764
203	CP__AreaShape_Extent	Large	0.0
204	CP__AreaShape_Extent	Metaphase	0.0
205	CP__AreaShape_Extent	MetaphaseAlignment	0.0
206	CP__AreaShape_Extent	OutOfFocus	0.0
207	CP__AreaShape_Extent	Polylobed	0.04846119551920322
208	CP__AreaShape_Extent	Prometaphase	-0.11446181421960616
209	CP__AreaShape_Extent	SmallIrregular	-0.01085634235341335
210	CP__AreaShape_FormFactor	ADCCM	-0.09051822519072926
211	CP__AreaShape_FormFactor	Anaphase	0.0
212	CP__AreaShape_FormFactor	Apoptosis	-2.521333538248271e-07
213	CP__AreaShape_FormFactor	Binuclear	0.0
214	CP__AreaShape_FormFactor	Elongated	0.11843314093389996
215	CP__AreaShape_FormFactor	Grape	0.0
216	CP__AreaShape_FormFactor	Hole	0.0452473091264459
217	CP__AreaShape_FormFactor	Interphase	-0.013411871393043302
218	CP__AreaShape_FormFactor	Large	-0.06660859287170218
219	CP__AreaShape_FormFactor	Metaphase	0.0
220	CP__AreaShape_FormFactor	MetaphaseAlignment	-0.05316509310051623
221	CP__AreaShape_FormFactor	OutOfFocus	0.0
222	CP__AreaShape_FormFactor	Polylobed	0.0
223	CP__AreaShape_FormFactor	Prometaphase	0.06833567249439633
224	CP__AreaShape_FormFactor	SmallIrregular	0.0
225	CP__AreaShape_MajorAxisLength	ADCCM	-0.005133486911955599
226	CP__AreaShape_MajorAxisLength	Anaphase	0.03034778001466351
227	CP__AreaShape_MajorAxisLength	Apoptosis	0.0
228	CP__AreaShape_MajorAxisLength	Binuclear	-0.02671086403896661
229	CP__AreaShape_MajorAxisLength	Elongated	0.005761147683736031
230	CP__AreaShape_MajorAxisLength	Grape	0.07270258232521182
231	CP__AreaShape_MajorAxisLength	Hole	-0.05554489512042249
232	CP__AreaShape_MajorAxisLength	Interphase	-0.06764074175622574
233	CP__AreaShape_MajorAxisLength	Large	0.0
234	CP__AreaShape_MajorAxisLength	Metaphase	0.0
235	CP__AreaShape_MajorAxisLength	MetaphaseAlignment	-0.012998214271484497
236	CP__AreaShape_MajorAxisLength	OutOfFocus	-0.006451200415944685
237	CP__AreaShape_MajorAxisLength	Polylobed	0.009932614684866298
238	CP__AreaShape_MajorAxisLength	Prometaphase	0.0
239	CP__AreaShape_MajorAxisLength	SmallIrregular	0.008308119353800653
240	CP__AreaShape_MaxFeretDiameter	ADCCM	0.0
241	CP__AreaShape_MaxFeretDiameter	Anaphase	0.04343240043622964
242	CP__AreaShape_MaxFeretDiameter	Apoptosis	0.005900370146214597
243	CP__AreaShape_MaxFeretDiameter	Binuclear	0.0
244	CP__AreaShape_MaxFeretDiameter	Elongated	0.0
245	CP__AreaShape_MaxFeretDiameter	Grape	-0.028190450514576786
246	CP__AreaShape_MaxFeretDiameter	Hole	-0.03944438994529721
247	CP__AreaShape_MaxFeretDiameter	Interphase	-0.002699819334459096
248	CP__AreaShape_MaxFeretDiameter	Large	0.0
249	CP__AreaShape_MaxFeretDiameter	Metaphase	-0.07500937405290156
250	CP__AreaShape_MaxFeretDiameter	MetaphaseAlignment	0.0
251	CP__AreaShape_MaxFeretDiameter	OutOfFocus	0.03079980282575889
252	CP__AreaShape_MaxFeretDiameter	Polylobed	0.0
253	CP__AreaShape_MaxFeretDiameter	Prometaphase	0.0
254	CP__AreaShape_MaxFeretDiameter	SmallIrregular	0.0027775100404283486
255	CP__AreaShape_MaximumRadius	ADCCM	0.0
256	CP__AreaShape_MaximumRadius	Anaphase	-0.010071032603603524
257	CP__AreaShape_MaximumRadius	Apoptosis	0.0
258	CP__AreaShape_MaximumRadius	Binuclear	0.0
259	CP__AreaShape_MaximumRadius	Elongated	0.0
260	CP__AreaShape_MaximumRadius	Grape	0.0
261	CP__AreaShape_MaximumRadius	Hole	0.0
262	CP__AreaShape_MaximumRadius	Interphase	0.0
263	CP__AreaShape_MaximumRadius	Large	0.0
264	CP__AreaShape_MaximumRadius	Metaphase	0.0
265	CP__AreaShape_MaximumRadius	MetaphaseAlignment	0.0
266	CP__AreaShape_MaximumRadius	OutOfFocus	-5.76383322637785e-06
267	CP__AreaShape_MaximumRadius	Polylobed	0.0
268	CP__AreaShape_MaximumRadius	Prometaphase	0.0
269	CP__AreaShape_MaximumRadius	SmallIrregular	0.018991724730737902
270	CP__AreaShape_MeanRadius	ADCCM	0.0
271	CP__AreaShape_MeanRadius	Anaphase	0.0
272	CP__AreaShape_MeanRadius	Apoptosis	0.06073698833747051
273	CP__AreaShape_MeanRadius	Binuclear	0.0
274	CP__AreaShape_MeanRadius	Elongated	0.0
275	CP__AreaShape_MeanRadius	Grape	0.0
276	CP__AreaShape_MeanRadius	Hole	-0.00513824808341426
277	CP__AreaShape_MeanRadius	Interphase	0.0
278	CP__AreaShape_MeanRadius	Large	0.0
